gene,gene_ID_robin,cluster
GQ602_001994,Ophcf2|01994,4
GQ602_001996,Ophcf2|01996,1
GQ602_001997,Ophcf2|01997,1
GQ602_002001,Ophcf2|02001,4
GQ602_002002,Ophcf2|02002,4
GQ602_002010,Ophcf2|02010,1
GQ602_002012,Ophcf2|02012,1
GQ602_002013,Ophcf2|02013,1
GQ602_002018,Ophcf2|02018,4
GQ602_002019,Ophcf2|02019,4
GQ602_002020,Ophcf2|02020,2
GQ602_002021,Ophcf2|02021,1
GQ602_002025,Ophcf2|02025,1
GQ602_002028,Ophcf2|02028,2
GQ602_002030,Ophcf2|02030,4
GQ602_002033,Ophcf2|02033,1
GQ602_002034,Ophcf2|02034,2
GQ602_002036,Ophcf2|02036,4
GQ602_002040,Ophcf2|02040,2
GQ602_002045,Ophcf2|02045,1
GQ602_002046,Ophcf2|02046,2
GQ602_002048,Ophcf2|02048,1
GQ602_002085,Ophcf2|02085,3
GQ602_002086,Ophcf2|02086,3
GQ602_002090,Ophcf2|02090,4
GQ602_002095,Ophcf2|02095,2
GQ602_002096,Ophcf2|02096,2
GQ602_002099,Ophcf2|02099,1
GQ602_002106,Ophcf2|02106,4
GQ602_002109,Ophcf2|02109,1
GQ602_002113,Ophcf2|02113,3
GQ602_002114,Ophcf2|02114,3
GQ602_002120,Ophcf2|02120,1
GQ602_002121,Ophcf2|02121,1
GQ602_002123,Ophcf2|02123,2
GQ602_002130,Ophcf2|02130,3
GQ602_002132,Ophcf2|02132,3
GQ602_002135,Ophcf2|02135,4
GQ602_002138,Ophcf2|02138,2
GQ602_002146,Ophcf2|02146,4
GQ602_002147,Ophcf2|02147,4
GQ602_002148,Ophcf2|02148,4
GQ602_002149,Ophcf2|02149,2
GQ602_002150,Ophcf2|02150,2
GQ602_002152,Ophcf2|02152,3
GQ602_002154,Ophcf2|02154,3
GQ602_002158,Ophcf2|02158,1
GQ602_002162,Ophcf2|02162,1
GQ602_002167,Ophcf2|02167,1
GQ602_002171,Ophcf2|02171,2
GQ602_002173,Ophcf2|02173,3
GQ602_002174,Ophcf2|02174,1
GQ602_002178,Ophcf2|02178,2
GQ602_002179,Ophcf2|02179,4
GQ602_002180,Ophcf2|02180,4
