"gene_name","module_identity","GCN"
"GQ602_003734","brown","ophio_cflo"
"GQ602_003735","brown","ophio_cflo"
"GQ602_003738","brown","ophio_cflo"
"GQ602_003739","brown","ophio_cflo"
"GQ602_003740","brown","ophio_cflo"
"GQ602_003743","brown","ophio_cflo"
"GQ602_003744","brown","ophio_cflo"
"GQ602_003746","brown","ophio_cflo"
"GQ602_003757","brown","ophio_cflo"
"GQ602_003758","brown","ophio_cflo"
"GQ602_003768","brown","ophio_cflo"
"GQ602_003769","brown","ophio_cflo"
"GQ602_003770","brown","ophio_cflo"
"GQ602_003771","brown","ophio_cflo"
"GQ602_003777","brown","ophio_cflo"
"GQ602_003792","brown","ophio_cflo"
"GQ602_003793","brown","ophio_cflo"
"GQ602_003794","brown","ophio_cflo"
"GQ602_003797","brown","ophio_cflo"
"GQ602_003813","brown","ophio_cflo"
"GQ602_003818","brown","ophio_cflo"
"GQ602_003832","brown","ophio_cflo"
"GQ602_003833","brown","ophio_cflo"
"GQ602_003834","brown","ophio_cflo"
"GQ602_003838","brown","ophio_cflo"
"GQ602_003842","brown","ophio_cflo"
"GQ602_003849","brown","ophio_cflo"
"GQ602_003853","brown","ophio_cflo"
"GQ602_003873","brown","ophio_cflo"
"GQ602_003881","brown","ophio_cflo"
"GQ602_003885","brown","ophio_cflo"
"GQ602_003888","brown","ophio_cflo"
"GQ602_003890","brown","ophio_cflo"
"GQ602_003891","brown","ophio_cflo"
"GQ602_003895","brown","ophio_cflo"
"GQ602_003899","brown","ophio_cflo"
"GQ602_003919","brown","ophio_cflo"
"GQ602_003920","brown","ophio_cflo"
"GQ602_003932","brown","ophio_cflo"
"GQ602_003948","brown","ophio_cflo"
"GQ602_003957","brown","ophio_cflo"
"GQ602_003969","brown","ophio_cflo"
"GQ602_003970","brown","ophio_cflo"
"GQ602_003973","brown","ophio_cflo"
"GQ602_003989","brown","ophio_cflo"
"GQ602_003996","brown","ophio_cflo"
"GQ602_003998","brown","ophio_cflo"
"GQ602_003999","brown","ophio_cflo"
"GQ602_004009","brown","ophio_cflo"
"GQ602_004052","brown","ophio_cflo"
"GQ602_004056","brown","ophio_cflo"
"GQ602_004064","brown","ophio_cflo"
"GQ602_004072","brown","ophio_cflo"
"GQ602_004078","brown","ophio_cflo"
"GQ602_004085","brown","ophio_cflo"
"GQ602_004086","brown","ophio_cflo"
"GQ602_004089","brown","ophio_cflo"
"GQ602_004092","brown","ophio_cflo"
"GQ602_004093","brown","ophio_cflo"
"GQ602_004094","brown","ophio_cflo"
"GQ602_004096","brown","ophio_cflo"
"GQ602_004100","brown","ophio_cflo"
"GQ602_004101","brown","ophio_cflo"
"GQ602_004107","brown","ophio_cflo"
"GQ602_004110","brown","ophio_cflo"
"GQ602_004120","brown","ophio_cflo"
"GQ602_004124","brown","ophio_cflo"
"GQ602_004136","brown","ophio_cflo"
"GQ602_004137","brown","ophio_cflo"
"GQ602_004138","brown","ophio_cflo"
"GQ602_004145","brown","ophio_cflo"
"GQ602_004149","brown","ophio_cflo"
"GQ602_004166","brown","ophio_cflo"
"GQ602_004181","brown","ophio_cflo"
"GQ602_004191","brown","ophio_cflo"
"GQ602_004196","brown","ophio_cflo"
"GQ602_004199","brown","ophio_cflo"
"GQ602_004200","brown","ophio_cflo"
"GQ602_004201","brown","ophio_cflo"
"GQ602_004210","brown","ophio_cflo"
"GQ602_004211","brown","ophio_cflo"
"GQ602_004215","brown","ophio_cflo"
"GQ602_004232","brown","ophio_cflo"
"GQ602_004233","brown","ophio_cflo"
"GQ602_004236","brown","ophio_cflo"
"GQ602_004258","brown","ophio_cflo"
"GQ602_004260","brown","ophio_cflo"
"GQ602_004264","brown","ophio_cflo"
"GQ602_004267","brown","ophio_cflo"
"GQ602_004273","brown","ophio_cflo"
"GQ602_004294","brown","ophio_cflo"
"GQ602_004302","brown","ophio_cflo"
"GQ602_004307","brown","ophio_cflo"
