gene_ID_ncbi,ZT02,ZT04,ZT06,ZT08,ZT10,ZT12,ZT14,ZT16,ZT18,ZT20,ZT22,ZT24
BBA_02835,139.326,89.8487,97.762,97.0233,157.456,122.619,115.486,90.0953,76.1012,109.442,115.36,132.769
BBA_02836,3.67684,1.74499,2.85945,2.33373,4.06406,2.62235,2.63274,1.6752,1.84345,2.35728,1.8733,1.77544
BBA_02837,1367.44,1366.48,985.165,1498.06,983.32,1007.92,1063.07,1119.53,1157.02,956.626,816.689,909.845
BBA_02838,44.9518,47.9042,39.1264,63.4308,59.0314,52.7973,41.444,43.2986,43.6103,42.7385,43.6459,40.3359
BBA_02839,991.949,906.644,723.347,1146.24,1237.09,1307.48,846.78,801.101,817.607,721.062,811.413,862.62
BBA_02840,19.0401,22.0408,21.0592,24.9571,30.7618,24.8764,25.0399,20.1987,19.5134,21.7085,25.4076,22.1094
BBA_02841,4.35062,2.40209,2.12384,2.33856,4.27127,2.50513,1.53716,0.7426,3.75322,1.75533,2.66056,1.56297
BBA_02842,18.8985,21.6954,24.6893,22.9725,26.602,30.0769,30.0017,26.6504,29.3749,30.9797,28.483,26.4769
BBA_02843,35.4878,35.8595,26.6228,29.3192,35.3607,24.5133,34.3976,29.7632,29.6147,25.6048,28.3592,32.6482
BBA_02844,54.7005,46.3911,48.644,40.8777,54.9139,50.2598,64.2218,60.6025,52.4248,68.46,65.4492,75.8908
BBA_02845,20.2657,22.8214,30.2785,22.1225,32.3958,31.0632,33.8703,30.7829,25.9487,38.7513,41.4211,41.3105
BBA_02846,291.247,290.157,319.498,223.038,263.097,342.554,318.891,309.29,270.448,312.365,327.9,335.639
BBA_02847,0.385767,0.307336,0.498148,0.253951,0.871656,0.403724,0.305192,0.291422,0.195381,0.241836,0.251633,0.238436
BBA_02848,20.8836,23.2352,27.6738,18.0076,31.3687,28.6328,26.2683,27.5456,32.5603,44.3943,48.8832,58.8116
BBA_02849,38.2563,42.3456,43.5271,33.3939,38.8192,44.4249,46.9398,45.763,44.998,48.413,54.4855,55.9623
BBA_02850,5.64636,5.36582,8.48314,5.47224,8.70812,6.26716,9.6329,7.39156,6.19155,8.41932,9.52933,7.73306
BBA_02851,1785.17,1813.46,1849.52,1511,1673.85,1916.57,1835.72,1746.15,1702.91,1793.12,1920.24,2063.03
BBA_02852,8.90021,6.91804,10.9153,8.69991,11.0601,10.8935,9.53067,9.16772,10.2905,7.93714,8.96118,8.01294
BBA_02853,28.3356,29.7623,33.4241,30.451,50.3401,35.3341,39.3361,37.2527,36.9607,42.4379,45.2328,50.9815
BBA_02854,37.9362,39.0504,38.8454,38.525,51.3915,42.1954,36.2607,39.6686,40.0864,44.6088,48.8131,50.5318
BBA_02855,14.4694,16.3327,25.9984,24.664,34.0982,19.3222,36.4123,30.1318,20.4183,25.7017,29.7524,25.9615
BBA_02856,22.4183,25.5952,30.9524,22.3227,30.2861,33.0906,38.4139,32.6276,30.4155,36.7842,40.23,34.5826
BBA_02857,111.252,104.269,108.747,87.784,99.2925,112.315,86.1837,85.3746,96.8686,79.6533,82.5535,95.4496
BBA_02858,117.463,117.603,108.118,132.415,119.965,195.628,124.042,130.47,107.742,97.353,89.0561,83.4365
BBA_02859,77.0754,59.1076,49.5885,81.0958,43.654,59.0844,43.4289,45.6875,49.9083,42.952,36.1126,31.3109
BBA_02860,19.6529,15.9182,15.3999,14.8158,19.4689,20.454,20.1058,17.0295,17.2721,16.4708,18.988,16.7046
BBA_02861,47.3665,46.5726,67.3608,42.9777,74.6119,49.9057,74.0212,64.2082,56.9988,60.9389,59.9829,66.9864
BBA_02862,8.34205,20.143,6.27753,11.1888,23.461,3.47099,17.2228,16.4324,12.1779,6.74718,27.9826,13.5708
BBA_02863,118.32,118.417,116.525,84.6433,101.258,50.9822,138.143,117.04,91.9398,118.155,122.355,111.051
BBA_02864,8.88778,6.72536,10.2357,11.3614,9.51147,18.3085,12.1795,10.0405,12.5546,14.1716,10.4629,15.159
BBA_02865,24.0091,19.8973,25.1333,19.5587,22.7408,39.1601,28.5758,27.4113,26.2184,36.1561,40.1116,36.388
BBA_02866,71.3156,80.0934,71.5185,65.566,58.6382,74.3614,48.7092,63.5405,56.8401,65.3271,64.9846,60.961
