"gene_name","ZT04ld","ZT08ld","ZT12ld","ZT16ld","ZT20ld","ZT24ld","ZT28ld","ZT32ld","ZT36ld","ZT40ld","ZT44ld","ZT48ld"
"XA68_11383",15.6388,14.1439,13.0162,10.5399,11.2047,11.2851,14.08,12.6391,15.4627,13.1891,11.2865,14.349
"XA68_11384",84.8882,90.7259,90.053,116.667,81.8953,91.3285,86.9351,84.8551,95.5815,96.5289,103.034,97.0564
"XA68_11385",68.82,65.7784,64.0185,34.5336,66.923,72.6988,65.1618,67.3093,53.6531,72.708,71.1032,65.1897
"XA68_11386",81.7989,118.823,79.5308,37.1883,81.1068,74.4082,81.0746,118.314,61.6938,121.411,69.0945,60.6346
"XA68_11387",296.764,336.974,298.119,155.376,291.419,299.41,270.244,310.39,221.931,329.851,222.648,222.26
"XA68_11388",24.3784,21.1746,20.0555,7.42237,19.1537,20.8707,16.003,17.7298,15.0796,17.8453,18.7396,15.6445
"XA68_11389",84.261,62.9776,64.9912,67.1117,61.2132,66.1329,80.2041,58.3952,62.7718,62.0053,64.1627,68.034
"XA68_11390",36.2739,39.1244,40.3587,28.2771,35.7078,43.2961,36.3469,38.9818,38.2122,35.0019,33.5681,37.4012
"XA68_11391",0.920539,0,3.58877,3.74023,1.83816,7.25836,0,0,0,1.55607,2.03308,5.16664
"XA68_11392",0,3.0224,0.943514,4.29948,0,2.17573,8.49414,9.94264,6.41601,1.16705,0.763282,3.41131
"XA68_11393",118.034,119.044,92.7652,56.3695,84.6766,70.1349,111.58,103.459,100.791,75.2323,84.5806,81.0993
"XA68_11394",77.5632,71.1947,60.5936,55.7012,66.8052,65.6939,71.027,59.6955,75.2531,47.2477,59.412,62.2526
"XA68_11395",17.2555,20.6641,22.6414,42.2432,27.0852,36.8084,21.0574,19.3242,21.1524,17.4494,33.9865,36.855
"XA68_11396",245.621,214.503,330.779,32.249,258.942,289.552,163.412,201.333,187.848,179.061,330.915,208.015
"XA68_11397",198.521,222.701,227.583,227.23,219.388,189.079,256.246,201.073,250.186,197.619,246.315,290.326
"XA68_11398",137.959,173.073,118.662,68.0537,123.232,91.2365,158.892,176.077,92.9661,190.227,106.806,114.61
"XA68_11399",32.8058,31.6443,36.6286,37.6434,38.019,42.1643,38.601,27.7889,32.6069,33.0327,42.199,33.3597
"XA68_11400",66.5198,50.3216,56.3727,105.268,67.5799,86.8949,60.8852,51.8461,46.5243,53.6097,84.4124,59.2139
"XA68_11401",213.914,147.387,256.532,675.36,367.98,612.951,172.561,159.939,163.905,192.356,305.256,175.092
"XA68_11402",170.744,136.151,185.738,244.526,217.725,258.267,119.288,135.067,210.828,169.528,187.844,143.645
"XA68_11403",63.5352,56.8807,71.0077,48.9871,66.0197,62.175,67.7399,63.7995,60.106,73.5658,75.9299,72.0894
"XA68_11404",180.726,182.998,292.592,142.663,309.385,272.628,198.353,187.88,198.049,161.573,317.836,217.254
"XA68_11405",33.0643,59.9608,35.3483,14.3393,34.5601,23.1884,53.8638,58.6886,31.9211,38.7995,30.8968,22.6567
