,ophio_cflo_ID,ophio_kim_ID,rhythmic_24h_ophio_cflo,rhythmic_24h_ophio_kim
524,Ophcf2|00584,Ophio5|7708,yes,no
525,Ophcf2|00585,Ophio5|7710,no,yes
526,Ophcf2|00586,Ophio5|7711,no,no
527,Ophcf2|00587,Ophio5|7712,yes,no
528,Ophcf2|00588,Ophio5|7713,no,no
529,Ophcf2|00589,Ophio5|7714,no,no
530,Ophcf2|00590,Ophio5|7716,no,no
531,Ophcf2|00591,Ophio5|7717,no,no
532,Ophcf2|00592,Ophio5|7718,yes,yes
533,Ophcf2|00593,Ophio5|7720,no,no
534,Ophcf2|00594,Ophio5|7721,no,no
535,Ophcf2|00595,Ophio5|7722,no,no
536,Ophcf2|00596,Ophio5|7723,no,yes
537,Ophcf2|00597,Ophio5|7724,yes,yes
538,Ophcf2|00598,Ophio5|7725,no,no
539,Ophcf2|00599,Ophio5|6288,no,no
540,Ophcf2|00600,Ophio5|6285,yes,yes
541,Ophcf2|00601,Ophio5|6284,no,no
542,Ophcf2|00602,Ophio5|8204,yes,no
543,Ophcf2|00603,Ophio5|8203,no,no
544,Ophcf2|00604,Ophio5|4277,yes,NA
545,Ophcf2|00605,Ophio5|4275,yes,NA
546,Ophcf2|00606,Ophio5|4274,no,NA
547,Ophcf2|00607,Ophio5|4272,yes,NA
548,Ophcf2|00608,Ophio5|4271,no,NA
549,Ophcf2|00609,Ophio5|4270,yes,NA
550,Ophcf2|00610,Ophio5|4269,yes,NA
551,Ophcf2|00611,Ophio5|591,no,no
552,Ophcf2|00612,Ophio5|6504,no,yes
553,Ophcf2|00613,Ophio5|6502,no,no
554,Ophcf2|00614,Ophio5|6501,no,no
555,Ophcf2|00615,Ophio5|3115,yes,no
556,Ophcf2|00616,Ophio5|3114,yes,no
557,Ophcf2|00617,Ophio5|3113,yes,no
558,Ophcf2|00618,Ophio5|3112,no,yes
559,Ophcf2|00619,Ophio5|3111,no,no
560,Ophcf2|00620,Ophio5|3110,no,no
